

New grid search run:
Combination ID=73: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=adam, Neurons=5, Layers=1, Final training loss=0.19939148426055908, Final validation loss=0.19905546307563782, Final training metric=0.19939148426055908, Final validation metric=0.19905546307563782, Number of parameters=16
Combination ID=74: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=adam, Neurons=5, Layers=2, Final training loss=0.030857613310217857, Final validation loss=0.028032885864377022, Final training metric=0.030857613310217857, Final validation metric=0.028032885864377022, Number of parameters=46
Combination ID=75: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=adam, Neurons=5, Layers=3, Final training loss=0.013817662373185158, Final validation loss=0.014033989049494267, Final training metric=0.013817662373185158, Final validation metric=0.014033989049494267, Number of parameters=76
Combination ID=76: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=adam, Neurons=10, Layers=1, Final training loss=0.12478374689817429, Final validation loss=0.11529441177845001, Final training metric=0.12478374689817429, Final validation metric=0.11529441177845001, Number of parameters=31
Combination ID=77: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=adam, Neurons=10, Layers=2, Final training loss=0.0247501228004694, Final validation loss=0.02206568233668804, Final training metric=0.0247501228004694, Final validation metric=0.02206568233668804, Number of parameters=141
Combination ID=78: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=adam, Neurons=10, Layers=3, Final training loss=0.013084267266094685, Final validation loss=0.014120104722678661, Final training metric=0.013084267266094685, Final validation metric=0.014120104722678661, Number of parameters=251
Combination ID=79: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=adam, Neurons=20, Layers=1, Final training loss=0.06712740659713745, Final validation loss=0.05927040055394173, Final training metric=0.06712740659713745, Final validation metric=0.05927040055394173, Number of parameters=61
Combination ID=80: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=adam, Neurons=20, Layers=2, Final training loss=0.01848040521144867, Final validation loss=0.01675509288907051, Final training metric=0.01848040521144867, Final validation metric=0.01675509288907051, Number of parameters=481
Combination ID=81: Loss=mse, Metric=mse, Epochs=100, Activation=tanh, Optimizer=adam, Neurons=20, Layers=3, Final training loss=0.01301303505897522, Final validation loss=0.013941789977252483, Final training metric=0.01301303505897522, Final validation metric=0.013941789977252483, Number of parameters=901
Combination ID=82: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=sgd, Neurons=5, Layers=1, Final training loss=0.43299734592437744, Final validation loss=0.41112199425697327, Final training metric=0.43299734592437744, Final validation metric=0.41112199425697327, Number of parameters=16
Combination ID=83: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=sgd, Neurons=5, Layers=2, Final training loss=0.4238770604133606, Final validation loss=0.39886707067489624, Final training metric=0.4238770604133606, Final validation metric=0.39886707067489624, Number of parameters=46
Combination ID=84: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=sgd, Neurons=5, Layers=3, Final training loss=0.8241373896598816, Final validation loss=0.8778237700462341, Final training metric=0.8241373896598816, Final validation metric=0.8778237700462341, Number of parameters=76
Combination ID=85: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=sgd, Neurons=10, Layers=1, Final training loss=0.5059137344360352, Final validation loss=0.4862253665924072, Final training metric=0.5059137344360352, Final validation metric=0.4862253665924072, Number of parameters=31
Combination ID=86: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=sgd, Neurons=10, Layers=2, Final training loss=0.4957416355609894, Final validation loss=0.48334866762161255, Final training metric=0.4957416355609894, Final validation metric=0.48334866762161255, Number of parameters=141
Combination ID=87: Loss=mse, Metric=mse, Epochs=100, Activation=sigmoid, Optimizer=sgd, Neurons=10, Layers=3, Final training loss=1.0271450281143188, Final validation loss=1.089499592781067, Final training metric=1.0271450281143188, Final validation metric=1.089499592781067, Number of parameters=251
