#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         398     -5.9326    -6.10924   0.0133113
         399    -5.93235     -6.1088   0.0132853
         400    -5.93278    -6.10836   0.0132594
         401    -5.93283    -6.10792   0.0132335
         402    -5.93325    -6.10749   0.0132077
         403     -5.9333    -6.10706    0.013182
         404    -5.93371    -6.10663   0.0131564
         405     -5.9345     -6.1062   0.0131308
         406     -5.9352    -6.10578   0.0131052
         407    -5.93581    -6.10536   0.0130796
         408    -5.93663    -6.10495   0.0130541
         409    -5.93735    -6.10454   0.0130286
         410    -5.93812    -6.10413   0.0130032
         411    -5.93893    -6.10373   0.0129777
         412    -5.93977    -6.10333   0.0129523
         413     -5.9405    -6.10294    0.012927
         414      -5.942    -6.10255   0.0129016
         415    -5.94323    -6.10217   0.0128762
         416    -5.94431    -6.10179   0.0128508
         417    -5.94495    -6.10141   0.0128255
         418    -5.94573    -6.10104   0.0128003
         419    -5.94621    -6.10067    0.012775
         420    -5.94698     -6.1003   0.0127499
         421    -5.94743    -6.09994   0.0127247
         422    -5.94845    -6.09958   0.0126997
         423     -5.9496    -6.09923   0.0126746
         424    -5.95056    -6.09888   0.0126495
         425    -5.95133    -6.09853   0.0126245
         426    -5.95236    -6.09819   0.0125996
         427    -5.95289    -6.09785   0.0125746
         428    -5.95336    -6.09751   0.0125498
         429    -5.95393    -6.09717    0.012525
         430    -5.95474    -6.09684   0.0125003
         431     -5.9555    -6.09651   0.0124756
         432    -5.95605    -6.09619   0.0124509
         433    -5.95638    -6.09587   0.0124263
         434    -5.95651    -6.09554   0.0124019
         435    -5.95673    -6.09523   0.0123775
         436     -5.9569    -6.09491   0.0123531
         437    -5.95701    -6.09459   0.0123289
         438    -5.95691    -6.09428   0.0123048
         439    -5.95707    -6.09397   0.0122807
         440    -5.95704    -6.09365   0.0122567
         441    -5.95667    -6.09334   0.0122329
         442    -5.95656    -6.09303   0.0122091
         443    -5.95627    -6.09273   0.0121854
         444     -5.9558    -6.09242   0.0121619
         445    -5.95516    -6.09211   0.0121385
         446    -5.95511     -6.0918   0.0121152
         447    -5.95475     -6.0915   0.0120919
         448    -5.95468    -6.09119   0.0120688
         449    -5.95461    -6.09089   0.0120457
         450    -5.95394    -6.09058   0.0120228
         451    -5.95403    -6.09028       0.012
         452    -5.95368    -6.08998   0.0119772
         453    -5.95334    -6.08967   0.0119546
         454    -5.95317    -6.08937    0.011932
         455    -5.95287    -6.08907   0.0119096
         456    -5.95273    -6.08878   0.0118872
         457    -5.95247    -6.08848    0.011865
         458    -5.95253    -6.08818   0.0118428
         459    -5.95231    -6.08788   0.0118207
         460    -5.95166    -6.08759   0.0117987
         461    -5.95209    -6.08729   0.0117767
         462    -5.95224      -6.087   0.0117549
         463     -5.9521    -6.08671   0.0117331
         464    -5.95197    -6.08642   0.0117114
         465    -5.95247    -6.08613   0.0116898
         466    -5.95266    -6.08585   0.0116682
         467    -5.95317    -6.08556   0.0116467
         468    -5.95338    -6.08528   0.0116252
         469    -5.95388      -6.085   0.0116038
         470    -5.95393    -6.08472   0.0115824
         471    -5.95397    -6.08444   0.0115612
         472      -5.954    -6.08417     0.01154
         473    -5.95372    -6.08389   0.0115189
         474    -5.95356    -6.08362   0.0114979
         475     -5.9537    -6.08334   0.0114769
         476    -5.95366    -6.08307    0.011456
         477    -5.95375     -6.0828   0.0114352
         478    -5.95351    -6.08253   0.0114145
         479     -5.9531    -6.08226   0.0113939
         480    -5.95312    -6.08199   0.0113733
         481    -5.95327    -6.08172   0.0113528
         482    -5.95355    -6.08145   0.0113324
         483    -5.95336    -6.08119    0.011312
         484    -5.95331    -6.08093   0.0112917
         485    -5.95293    -6.08066   0.0112715
         486      -5.953     -6.0804   0.0112514
         487    -5.95261    -6.08014   0.0112313
         488    -5.95237    -6.07987   0.0112114
         489    -5.95213    -6.07961   0.0111915
         490     -5.9519    -6.07935   0.0111717
         491    -5.95168    -6.07909    0.011152
         492    -5.95148    -6.07883   0.0111323
         493     -5.9513    -6.07857   0.0111127
         494     -5.9516    -6.07832   0.0110932
         495    -5.95164    -6.07806   0.0110738
         496    -5.95142    -6.07781   0.0110544
         497    -5.95139    -6.07755   0.0110351
         498    -5.95173     -6.0773   0.0110158
         499    -5.95243    -6.07705   0.0109966
         500    -5.95275     -6.0768   0.0109774
         501    -5.95299    -6.07655   0.0109582
         502    -5.95316    -6.07631   0.0109392
         503    -5.95387    -6.07606   0.0109201
         504    -5.95421    -6.07582   0.0109011
         505     -5.9545    -6.07558   0.0108822
         506    -5.95519    -6.07534   0.0108633
         507    -5.95643    -6.07511   0.0108444
         508    -5.95732    -6.07488   0.0108255
         509    -5.95832    -6.07465   0.0108067
         510    -5.95927    -6.07442   0.0107879
         511    -5.96063     -6.0742    0.010769
         512    -5.96179    -6.07398   0.0107503
         513    -5.96304    -6.07376   0.0107315
         514     -5.9644    -6.07355   0.0107127
         515    -5.96599    -6.07334   0.0106939
         516    -5.96767    -6.07314   0.0106752
         517    -5.96929    -6.07294   0.0106564
         518    -5.97158    -6.07274   0.0106376
         519    -5.97348    -6.07255   0.0106189
         520    -5.97529    -6.07236   0.0106001
         521     -5.9773    -6.07218   0.0105813
         522    -5.97934      -6.072   0.0105625
         523     -5.9814    -6.07183   0.0105438
         524    -5.98288    -6.07166    0.010525
         525     -5.9848    -6.07149   0.0105063
         526    -5.98687    -6.07133   0.0104875
         527    -5.98891    -6.07118   0.0104688
         528    -5.99061    -6.07102   0.0104501
         529    -5.99271    -6.07088   0.0104314
         530    -5.99445    -6.07073   0.0104127
         531    -5.99612    -6.07059    0.010394
         532    -5.99725    -6.07045   0.0103754
         533     -5.9989    -6.07032   0.0103568
         534    -6.00028    -6.07019   0.0103382
         535    -6.00141    -6.07006   0.0103197
         536    -6.00272    -6.06993   0.0103012
         537    -6.00375    -6.06981   0.0102828
         538    -6.00465    -6.06969   0.0102644
         539    -6.00542    -6.06957    0.010246
         540    -6.00621    -6.06945   0.0102277
         541    -6.00731    -6.06934   0.0102095
         542    -6.00798    -6.06923   0.0101912
         543    -6.00882    -6.06911   0.0101731
         544    -6.00969      -6.069    0.010155
         545    -6.00984     -6.0689   0.0101369
         546    -6.00987    -6.06879   0.0101189
         547     -6.0095    -6.06868    0.010101
         548    -6.00964    -6.06857   0.0100832
         549    -6.00938    -6.06846   0.0100654
         550    -6.00921    -6.06836   0.0100476
         551    -6.00897    -6.06825     0.01003
         552    -6.00853    -6.06814   0.0100124
         553    -6.00804    -6.06803  0.00999488
         554    -6.00738    -6.06792  0.00997744
         555    -6.00701    -6.06781  0.00996006
         556    -6.00632     -6.0677  0.00994276
         557    -6.00564    -6.06759  0.00992554
         558    -6.00542    -6.06748  0.00990838
         559    -6.00508    -6.06737  0.00989128
         560    -6.00446    -6.06725  0.00987425
         561    -6.00418    -6.06714  0.00985729
         562    -6.00379    -6.06703   0.0098404
         563    -6.00329    -6.06692  0.00982357
         564    -6.00283     -6.0668  0.00980681
         565    -6.00226    -6.06669  0.00979012
         566    -6.00158    -6.06657   0.0097735
         567    -6.00139    -6.06646  0.00975694
         568    -6.00109    -6.06634  0.00974044
         569    -6.00112    -6.06623  0.00972399
         570    -6.00103    -6.06611  0.00970761
         571    -6.00096      -6.066  0.00969128
         572    -6.00075    -6.06589    0.009675
         573    -6.00071    -6.06577  0.00965879
         574    -6.00097    -6.06566  0.00964262
         575    -6.00063    -6.06555  0.00962651
         576    -6.00073    -6.06543  0.00961046
         577    -6.00067    -6.06532  0.00959446
         578    -6.00059    -6.06521  0.00957851
         579    -6.00109     -6.0651  0.00956261
         580     -6.0008    -6.06499  0.00954676
         581    -6.00049    -6.06488  0.00953098
         582    -6.00028    -6.06477  0.00951525
         583    -6.00019    -6.06466  0.00949957
         584    -5.99991    -6.06454  0.00948395
         585    -6.00003    -6.06443  0.00946838
         586    -6.00011    -6.06432  0.00945286
         587    -5.99984    -6.06421  0.00943739
         588    -5.99922     -6.0641  0.00942199
         589    -5.99871    -6.06399  0.00940665
         590    -5.99845    -6.06388  0.00939136
         591    -5.99784    -6.06377  0.00937614
         592    -5.99734    -6.06366  0.00936097
         593    -5.99664    -6.06355  0.00934587
         594    -5.99575    -6.06343  0.00933083
         595    -5.99529    -6.06332  0.00931585
         596    -5.99479     -6.0632  0.00930093
         597     -5.9938    -6.06309  0.00928608
         598    -5.99325    -6.06297  0.00927128
         599    -5.99238    -6.06285  0.00925655
         600    -5.99149    -6.06273  0.00924189
         601    -5.99044    -6.06261  0.00922729
         602    -5.98955    -6.06249  0.00921276
         603     -5.9888    -6.06237   0.0091983
         604    -5.98838    -6.06225  0.00918388
         605    -5.98767    -6.06212  0.00916953
         606    -5.98653      -6.062  0.00915525
         607    -5.98588    -6.06187  0.00914102
         608    -5.98496    -6.06175  0.00912686
         609    -5.98409    -6.06162  0.00911277
         610    -5.98387    -6.06149  0.00909872
         611    -5.98341    -6.06136  0.00908473
         612    -5.98301    -6.06123  0.00907078
         613    -5.98253    -6.06111   0.0090569
         614    -5.98213    -6.06098  0.00904306
         615    -5.98134    -6.06085  0.00902928
         616     -5.9811    -6.06072  0.00901555
         617    -5.98108    -6.06059  0.00900186
         618    -5.98101    -6.06046  0.00898822
         619    -5.98087    -6.06033  0.00897462
         620    -5.98097     -6.0602  0.00896106
         621    -5.98131    -6.06008  0.00894753
         622    -5.98204    -6.05995  0.00893402
         623    -5.98226    -6.05983  0.00892055
         624    -5.98287     -6.0597  0.00890711
         625    -5.98385    -6.05958  0.00889368
         626    -5.98417    -6.05946  0.00888029
         627    -5.98486    -6.05934  0.00886692
         628    -5.98578    -6.05923  0.00885358
         629    -5.98691    -6.05911  0.00884025
         630    -5.98826      -6.059  0.00882693
         631    -5.98921    -6.05889  0.00881364
         632    -5.99051    -6.05878  0.00880036
         633    -5.99126    -6.05867   0.0087871
         634    -5.99236    -6.05857  0.00877386
         635    -5.99318    -6.05847  0.00876065
         636    -5.99449    -6.05836  0.00874745
         637    -5.99583    -6.05827  0.00873427
         638     -5.9975    -6.05817   0.0087211
         639    -5.99873    -6.05808  0.00870795
         640    -5.99998    -6.05799  0.00869482
         641    -6.00123     -6.0579   0.0086817
         642     -6.0025    -6.05781  0.00866861
         643    -6.00347    -6.05773  0.00865554
         644    -6.00475    -6.05765  0.00864249
         645    -6.00603    -6.05757  0.00862946
         646    -6.00717    -6.05749  0.00861645
         647    -6.00846    -6.05741  0.00860347
         648     -6.0099    -6.05734  0.00859051
         649    -6.01134    -6.05727  0.00857756
         650    -6.01234     -6.0572  0.00856464
         651    -6.01364    -6.05713  0.00855175
         652     -6.0148    -6.05707  0.00853888
         653    -6.01641      -6.057  0.00852603
         654    -6.01773    -6.05694   0.0085132
         655     -6.0186    -6.05689  0.00850041
         656    -6.01994    -6.05683  0.00848764
         657    -6.02083    -6.05677  0.00847489
         658     -6.0222    -6.05672  0.00846218
         659    -6.02373    -6.05667  0.00844949
         660    -6.02497    -6.05662  0.00843682
         661    -6.02654    -6.05658  0.00842418
