       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
          20   0.0942809       0.146     0.07475   0.0201031
          20    0.282843       0.641    0.742725    0.078532
          20    0.471405      1.8085     1.99895    0.115697
          20    0.659966       3.259      3.5875    0.240255
          20    0.848528        7.33     5.33193    0.312818
          20     1.03709      9.9355     8.18525    0.327354
          20     1.22565      8.9705     9.13293    0.342332
          20     1.41421      8.3455     9.10332    0.299067
          20     1.60278      7.2415     9.66968    0.298758
          20     1.79134      10.962     9.95847    0.290165
          20      1.9799     11.6255     9.86403    0.347539
          20     2.16846      9.5875     9.31873    0.237591
          20     2.35702      5.1655       6.927    0.407029
          20     2.54558       6.732     6.59145    0.258654
          20     2.73415       5.182     5.33647    0.308969
          20     2.92271       3.538     3.84733    0.262756
          20     3.11127       3.172     2.66372    0.171163
          20     3.29983         1.7     2.20188    0.163767
          20     3.48839       0.573     1.48815    0.110653
          20     3.67696      0.2445        0.98    0.114658
          20     3.86552      0.6895      0.4511   0.0411082
          20     4.05408      1.0695    0.290825   0.0582201
          20     4.24264      0.0815     0.14385   0.0452646
          20      4.4312           0    0.057925    0.018452
          20     4.61976           0    0.008975  0.00478245
          20     4.80833           0      0.0206   0.0128733
          20     4.99689           0    0.020525   0.0119077
          20     5.18545           0    0.000775 0.000755377
          20     5.37401           0    0.001175  0.00114525
          20     5.56257           0           0           0
          21   0.0942809       0.002   0.0712857    0.019442
          21    0.282843      0.2695     0.72019   0.0779585
          21    0.471405      2.2285     2.00988    0.110703
          21    0.659966       2.364     3.52924    0.235772
          21    0.848528      6.8755     5.40543    0.306436
          21     1.03709      6.8225     8.12036    0.318133
          21     1.22565     10.0585       9.177    0.328856
          21     1.41421     10.4035     9.16524    0.291164
          21     1.60278      11.259     9.74536    0.293961
          21     1.79134     10.3275     9.97605    0.276879
          21      1.9799     10.1765      9.8789    0.331308
          21     2.16846      9.8355     9.34333    0.227548
          21     2.35702      5.4645     6.85736     0.39356
          21     2.54558       6.525     6.58829    0.246357
          21     2.73415      5.3935     5.33919    0.294268
          21     2.92271      3.6465     3.83776    0.250418
          21     3.11127        2.64      2.6626    0.163016
          21     3.29983      1.3205      2.1599    0.161257
          21     3.48839       0.449     1.43867    0.115921
          21     3.67696       0.489    0.956619    0.111557
          21     3.86552       0.385    0.447952   0.0392709
          21     4.05408      0.4865    0.300143   0.0561884
          21     4.24264       0.578    0.164524   0.0475968
          21      4.4312           0   0.0551667   0.0177783
          21     4.61976           0  0.00854762  0.00457377
          21     4.80833           0    0.019619   0.0122976
