SA_step;Energy;Energy_error
69000;-0.448098;0.00671273
69100;-0.448374;0.00608675
69200;-0.444473;0.00775231
69300;-0.449779;0.00682733
69400;-0.449779;0.00682733
69500;-0.449779;0.00682733
69600;-0.449779;0.00682733
69700;-0.449779;0.00682733
69800;-0.449779;0.00682733
69900;-0.449779;0.00682733
70000;-0.449779;0.00682733
70100;-0.446866;0.00734799
70200;-0.448382;0.00736414
70300;-0.448137;0.00791012
70400;-0.44802;0.00611363
70500;-0.448523;0.00804497
70600;-0.446209;0.00935096
70700;-0.441981;0.00690434
70800;-0.450229;0.00756085
70900;-0.453353;0.00658349
71000;-0.453353;0.00658349
71100;-0.453353;0.00658349
71200;-0.453651;0.00609011
71300;-0.453651;0.00609011
71400;-0.453651;0.00609011
71500;-0.453651;0.00609011
71600;-0.453651;0.00609011
71700;-0.453651;0.00609011
71800;-0.453651;0.00609011
71900;-0.453651;0.00609011
72000;-0.453651;0.00609011
72100;-0.453651;0.00609011
72200;-0.453651;0.00609011
72300;-0.453651;0.00609011
72400;-0.453651;0.00609011
72500;-0.453651;0.00609011
72600;-0.453651;0.00609011
72700;-0.453651;0.00609011
72800;-0.453651;0.00609011
72900;-0.453651;0.00609011
73000;-0.453651;0.00609011
73100;-0.453651;0.00609011
73200;-0.453651;0.00609011
73300;-0.453651;0.00609011
73400;-0.453651;0.00609011
73500;-0.453651;0.00609011
73600;-0.453651;0.00609011
73700;-0.453651;0.00609011
73800;-0.453651;0.00609011
73900;-0.444286;0.00608417
74000;-0.449452;0.007651
74100;-0.450083;0.00562805
74200;-0.449294;0.0056411
74300;-0.443636;0.00684951
74400;-0.445228;0.00783564
74500;-0.447705;0.0069946
74600;-0.447254;0.00560107
74700;-0.450978;0.00748936
74800;-0.44822;0.00775098
74900;-0.445397;0.00787659
75000;-0.448612;0.00645352
75100;-0.446349;0.00619386
75200;-0.449103;0.00762655
75300;-0.449103;0.00762655
75400;-0.44909;0.00653024
75500;-0.44373;0.00648751
75600;-0.446627;0.00582199
75700;-0.446049;0.00695241
75800;-0.442679;0.00656424
75900;-0.448116;0.00592843
76000;-0.450511;0.00587412
76100;-0.450511;0.00587412
76200;-0.450511;0.00587412
76300;-0.450511;0.00587412
76400;-0.450511;0.00587412
76500;-0.448468;0.00693724
76600;-0.447181;0.00650951
76700;-0.446886;0.00902233
76800;-0.448556;0.00801157
76900;-0.448556;0.00801157
77000;-0.44952;0.00640836
77100;-0.442321;0.00728957
77200;-0.446784;0.00658727
77300;-0.448408;0.00767359
77400;-0.448586;0.00618336
77500;-0.448586;0.00618336
77600;-0.4459;0.00737145
77700;-0.453347;0.00658212
77800;-0.453347;0.00658212
77900;-0.453347;0.00658212
78000;-0.453347;0.00658212
78100;-0.453347;0.00658212
78200;-0.449405;0.00611542
78300;-0.449883;0.00734224
78400;-0.447378;0.00641188
78500;-0.441581;0.0078852
78600;-0.452049;0.00639379
78700;-0.452049;0.00639379
78800;-0.451885;0.00577007
78900;-0.451885;0.00577007
79000;-0.451885;0.00577007
79100;-0.449953;0.00626055
79200;-0.449953;0.00626055
79300;-0.449415;0.00610067
79400;-0.451939;0.00565543
79500;-0.451939;0.00565543
79600;-0.451939;0.00565543
79700;-0.449749;0.00592995
79800;-0.449749;0.00592995
79900;-0.449749;0.00592995
80000;-0.450626;0.0052414
80100;-0.450626;0.0052414
80200;-0.450626;0.0052414
80300;-0.450626;0.0052414
80400;-0.448996;0.00534936
80500;-0.449101;0.00648253
80600;-0.449101;0.00648253
80700;-0.450063;0.00623927
80800;-0.441513;0.00820134
80900;-0.448035;0.00625748
81000;-0.449387;0.00740633
81100;-0.449387;0.00740633
81200;-0.447417;0.00807662
81300;-0.448132;0.00790443
81400;-0.448336;0.00628548
81500;-0.448336;0.00628548
81600;-0.449996;0.00620137
81700;-0.449995;0.0062013
81800;-0.449995;0.0062013
81900;-0.449995;0.0062013
82000;-0.448504;0.0065175
82100;-0.448504;0.0065175
82200;-0.447213;0.00637048
82300;-0.447213;0.00637048
82400;-0.452478;0.00611258
82500;-0.452478;0.00611258
82600;-0.452478;0.00611258
82700;-0.452478;0.00611258
82800;-0.452478;0.00611258
82900;-0.450023;0.0063173
83000;-0.448782;0.00637473
83100;-0.449992;0.00703763
83200;-0.449574;0.00656713
83300;-0.451546;0.00570394
83400;-0.451546;0.00570394
83500;-0.451546;0.00570394
83600;-0.451546;0.00570394
83700;-0.451546;0.00570394
83800;-0.451546;0.00570394
83900;-0.451546;0.00570394
84000;-0.447816;0.00634891
84100;-0.444932;0.00613105
84200;-0.439085;0.0058522
84300;-0.446767;0.0059535
84400;-0.450035;0.00705207
84500;-0.450035;0.00705207
84600;-0.450035;0.00705207
84700;-0.450035;0.00705207
84800;-0.450035;0.00705207
84900;-0.443789;0.00530935
85000;-0.449442;0.00612344
85100;-0.447787;0.00680433
85200;-0.449983;0.00623786
85300;-0.449983;0.00623786
85400;-0.449983;0.00623786
85500;-0.449983;0.00623786
85600;-0.449983;0.00623786
85700;-0.451243;0.00602066
85800;-0.451243;0.00602066
85900;-0.451243;0.00602066
86000;-0.451243;0.00602066
86100;-0.451243;0.00602066
86200;-0.447193;0.00743899
86300;-0.449881;0.00616681
86400;-0.449601;0.00621206
86500;-0.449601;0.00621206
86600;-0.450041;0.00576992
86700;-0.450041;0.00576992
86800;-0.449997;0.00909733
86900;-0.449997;0.00909733
87000;-0.449997;0.00909733
87100;-0.448726;0.00746804
87200;-0.448169;0.00918206
87300;-0.449251;0.00613401
87400;-0.449251;0.00613401
87500;-0.449251;0.00613401
87600;-0.445322;0.00632963
87700;-0.448183;0.00686852
87800;-0.448183;0.00686852
87900;-0.453523;0.0073036
88000;-0.453523;0.0073036
88100;-0.453523;0.0073036
88200;-0.453523;0.0073036
88300;-0.453523;0.0073036
88400;-0.453523;0.0073036
88500;-0.453523;0.0073036
88600;-0.453523;0.0073036
88700;-0.453523;0.0073036
88800;-0.453523;0.0073036
88900;-0.453523;0.0073036
89000;-0.453523;0.0073036
89100;-0.453523;0.0073036
89200;-0.453523;0.0073036
89300;-0.453523;0.0073036
89400;-0.453523;0.0073036
89500;-0.453523;0.0073036
89600;-0.453523;0.0073036
89700;-0.453523;0.0073036
89800;-0.453523;0.0073036
89900;-0.453523;0.0073036
90000;-0.453523;0.0073036
90100;-0.453523;0.0073036
90200;-0.445599;0.00774821
90300;-0.445491;0.00787619
90400;-0.447968;0.00658314
90500;-0.447545;0.00929361
90600;-0.449444;0.00764856
90700;-0.451137;0.00636288
90800;-0.451137;0.00636288
90900;-0.449466;0.00664345
91000;-0.449466;0.00664345
91100;-0.447826;0.00664318
91200;-0.453521;0.00730348
91300;-0.453521;0.00730348
91400;-0.453521;0.00730348
91500;-0.453521;0.00730348
91600;-0.453521;0.00730348
91700;-0.453521;0.00730348
91800;-0.453521;0.00730348
91900;-0.449589;0.00616264
92000;-0.449589;0.00616264
92100;-0.449589;0.00616264
92200;-0.448228;0.00645611
92300;-0.448228;0.00645611
92400;-0.4477;0.00623851
92500;-0.449268;0.00631384
92600;-0.450548;0.00599601
92700;-0.450548;0.00599601
92800;-0.450548;0.00599601
92900;-0.450548;0.00599601
