Block;Step;Progressive_discrete_rw;Progressive_discrete_rw_error;Progressive_continuous_rw;Progressive_continuous_rw_error
3;65;8.41677;0.253644;8.0794;0.222545
3;66;8.01607;0.165949;8.13325;0.138476
3;67;8.02187;0.146784;8.22992;0.209821
3;68;8.17922;0.258463;8.14616;0.217741
3;69;8.30963;0.0706937;8.21038;0.137515
3;70;8.02112;0.137445;8.4023;0.224685
3;71;8.42299;0.145163;8.61796;0.153022
3;72;8.68221;0.244434;8.39286;0.117179
3;73;8.69125;0.221495;8.46422;0.169188
3;74;8.60544;0.110149;8.90691;0.0721614
3;75;8.72313;0.154914;8.76999;0.128745
3;76;8.81676;0.273716;8.63744;0.153684
3;77;8.7681;0.153143;8.88272;0.180366
3;78;9.12582;0.146582;8.50294;0.156437
3;79;8.86271;0.0956514;8.80638;0.0730407
3;80;8.98158;0.0935806;8.77893;0.153327
3;81;9.21649;0.137047;8.906;0.159188
3;82;8.97622;0.272339;9.15607;0.244579
3;83;9.42894;0.141422;8.96131;0.118192
3;84;9.28994;0.118371;9.25565;0.170267
3;85;9.15456;0.0982341;9.4079;0.0986359
3;86;9.28116;0.204135;9.23628;0.125755
3;87;9.14811;0.0857454;9.21704;0.291235
3;88;8.79633;0.323848;9.14091;0.0818066
3;89;9.40539;0.323367;9.32713;0.209228
3;90;9.54657;0.0965499;9.72289;0.161726
3;91;9.65192;0.115977;9.69955;0.107456
3;92;9.87134;0.0622125;9.14478;0.230457
3;93;9.60251;0.246173;9.43043;0.208488
3;94;9.67319;0.186504;9.94169;0.109573
3;95;9.60639;0.249864;9.61267;0.124607
3;96;9.95662;0.231443;10.0307;0.162807
3;97;10.3647;0.290643;9.76323;0.317886
3;98;9.91456;0.143283;10.1111;0.12719
3;99;9.82981;0.261319;9.60776;0.40137
3;100;9.97781;0.278902;9.86224;0.0973709
4;0;0;0;0;0
4;1;1;0;1;0
4;2;1.44604;0.015492;1.3976;0.00591733
4;3;1.74043;0.0269817;1.70951;0.0326432
4;4;1.96703;0.0264586;2.02606;0.0284279
4;5;2.25649;0.0454782;2.1781;0.0602913
4;6;2.46664;0.0540427;2.45994;0.0488861
4;7;2.67951;0.0552725;2.68222;0.0382953
4;8;2.75011;0.0349456;2.87215;0.0652136
4;9;2.95159;0.0896393;2.90472;0.03808
4;10;3.28061;0.0799896;3.1919;0.0821083
4;11;3.25367;0.0583218;3.2317;0.0429912
4;12;3.42844;0.0738457;3.408;0.0939007
4;13;3.71752;0.0319389;3.48505;0.0660157
4;14;3.70689;0.0416586;3.66084;0.0907152
4;15;3.87965;0.0456601;3.92342;0.0334902
4;16;4.03091;0.054283;4.04646;0.079207
4;17;3.98389;0.095677;4.18267;0.0581073
4;18;4.18986;0.0652889;4.23746;0.0770769
4;19;4.42714;0.0780899;4.4407;0.0266951
4;20;4.48335;0.0298476;4.5161;0.0833933
4;21;4.73157;0.0552996;4.6918;0.0906809
4;22;4.6042;0.0966427;4.83;0.10413
4;23;4.50367;0.0907209;4.86505;0.127279
4;24;4.90098;0.0714773;4.72316;0.0757139
4;25;4.9678;0.0850641;5.04438;0.0810857
4;26;5.10656;0.0613633;5.16384;0.0787061
4;27;5.06429;0.0723337;5.0986;0.019609
4;28;5.32926;0.103719;5.23555;0.042946
4;29;5.43377;0.0673619;5.42633;0.0697372
4;30;5.5217;0.0754593;5.59575;0.0989879
4;31;5.42502;0.0358261;5.74808;0.157015
4;32;5.72826;0.103734;5.5162;0.0513403
4;33;5.79493;0.180846;5.93715;0.105824
4;34;5.97051;0.17956;5.92802;0.0935514
4;35;6.13468;0.115911;5.86246;0.0877529
4;36;6.06568;0.154547;6.18593;0.149338
4;37;6.07422;0.0544152;6.10724;0.0545833
4;38;6.15177;0.0832662;6.17027;0.11393
4;39;6.28079;0.0996153;6.22321;0.0964426
4;40;6.10381;0.122009;6.33691;0.0411718
4;41;6.23324;0.103392;6.40318;0.104317
4;42;6.42558;0.1264;6.269;0.148468
4;43;6.46519;0.0794663;6.46058;0.126961
4;44;6.66752;0.145083;6.60742;0.0686559
4;45;6.65036;0.0466052;6.51936;0.138551
4;46;6.86638;0.0649404;6.69811;0.0718043
4;47;6.90815;0.0797404;6.86981;0.0910013
4;48;6.69652;0.0645791;7.08792;0.0992281
4;49;7.06725;0.12034;6.96447;0.0918198
4;50;7.1939;0.0770562;6.85417;0.0837557
4;51;6.96925;0.0661252;7.1331;0.132674
4;52;7.12767;0.179132;7.16651;0.162393
4;53;7.50654;0.113916;7.19492;0.105904
4;54;7.25702;0.0304761;7.36259;0.196079
4;55;7.44554;0.122383;7.51848;0.140909
4;56;7.45179;0.18082;7.48296;0.167697
4;57;7.53287;0.0629439;7.29105;0.232248
4;58;7.5845;0.178472;7.37309;0.10205
4;59;7.6916;0.0764168;7.58913;0.13124
4;60;7.60064;0.0596725;7.64685;0.122994
4;61;7.80643;0.130114;7.69949;0.126045
4;62;7.8228;0.0945146;7.85552;0.155145
4;63;7.97882;0.11225;7.78414;0.146099
4;64;8.17966;0.233025;8.06849;0.253501
4;65;8.39185;0.198046;8.17358;0.196436
4;66;8.02059;0.128623;8.25316;0.160884
4;67;8.01774;0.113773;8.15404;0.179365
4;68;8.2906;0.229103;8.15843;0.169106
4;69;8.19328;0.128594;8.21594;0.106664
4;70;8.05543;0.111857;8.37159;0.176729
4;71;8.32534;0.148927;8.50218;0.165696
4;72;8.55698;0.227005;8.42415;0.0960082
4;73;8.44806;0.297621;8.35673;0.169495
4;74;8.62562;0.0876744;8.83121;0.0941037
4;75;8.61166;0.163782;8.84051;0.122141
4;76;8.68901;0.247532;8.7171;0.143241
4;77;8.65326;0.165106;8.9054;0.14154
4;78;9.02298;0.153192;8.54171;0.127226
4;79;8.83235;0.0800697;8.92499;0.131412
4;80;8.9423;0.0824422;8.65323;0.172929
4;81;9.05509;0.193176;8.91543;0.123666
4;82;8.85764;0.241997;9.1215;0.192578
4;83;9.24586;0.213355;8.96303;0.0915674
4;84;9.33206;0.1009;9.14865;0.169829
4;85;9.33243;0.19346;9.39129;0.0781884
4;86;9.34597;0.170888;9.1605;0.123411
4;87;9.23849;0.112158;9.28081;0.234428
4;88;8.86878;0.261106;9.07848;0.0889565
4;89;9.38635;0.251201;9.39092;0.17417
4;90;9.54136;0.0749688;9.70928;0.126009
4;91;9.58573;0.11159;9.59657;0.132418
4;92;9.71894;0.159839;9.17217;0.180601
4;93;9.59407;0.190871;9.52203;0.185661
4;94;9.58658;0.16844;9.90148;0.0939169
4;95;9.51224;0.215229;9.57692;0.102928
4;96;10.0618;0.207836;10.1109;0.149463
4;97;10.2147;0.270537;9.7486;0.246668
4;98;9.93704;0.11324;10.0754;0.104798
4;99;9.85402;0.20386;9.59879;0.311029
4;100;9.90391;0.228325;9.94862;0.114679
5;0;0;0;0;0
5;1;1;0;1;0
5;2;1.44541;0.0126652;1.40472;0.00860105
5;3;1.76127;0.0303266;1.70972;0.0266539
5;4;1.97749;0.0240017;2.00715;0.0299364
5;5;2.24631;0.038501;2.18361;0.0495349
5;6;2.47783;0.0455221;2.45429;0.0403141
5;7;2.67199;0.0457521;2.65879;0.0390716
5;8;2.80329;0.0603525;2.85829;0.0550208
5;9;2.96408;0.0742489;2.91517;0.0328025
5;10;3.28004;0.0653137;3.15308;0.077474
5;11;3.27511;0.052223;3.26445;0.0480054
5;12;3.44345;0.062136;3.45833;0.091713
5;13;3.69654;0.0334674;3.53064;0.0705981
5;14;3.67786;0.044719;3.62781;0.0811003
5;15;3.84858;0.0485298;3.91235;0.0295005
5;16;4.03321;0.0443818;4.06597;0.0675513
5;17;4.02149;0.0866993;4.16254;0.0515387
5;18;4.23355;0.0689205;4.26215;0.0676052
5;19;4.37364;0.0832377;4.43276;0.0231993
5;20;4.51;0.0361158;4.54088;0.0724559
5;21;4.7374;0.0455268;4.6584;0.0812264
5;22;4.61679;0.0799067;4.77794;0.0996963
5;23;4.54539;0.0850102;4.85717;0.104221
5;24;4.89209;0.0590331;4.77939;0.0835649
5;25;4.97183;0.0695715;5.03281;0.0672089
5;26;5.06272;0.0665714;5.15144;0.065448
5;27;5.09171;0.0651117;5.11286;0.0214423
5;28;5.27638;0.0998391;5.23596;0.0350676
5;29;5.37536;0.0802302;5.44995;0.0616452
5;30;5.57038;0.0785219;5.5966;0.0808278
5;31;5.45419;0.0413056;5.65663;0.157478
5;32;5.7448;0.0862987;5.55441;0.0567233
5;33;5.84864;0.157125;5.84661;0.125153
5;34;5.90817;0.159317;5.92677;0.0763946
5;35;6.10778;0.0983899;5.89681;0.0794605
5;36;6.12348;0.138796;6.12435;0.136603
5;37;6.10854;0.0561402;6.13491;0.0524572
5;38;6.12118;0.0745501;6.16233;0.093362
5;39;6.28597;0.0815006;6.26398;0.0886743
5;40;6.21837;0.151817;6.30296;0.0477756
5;41;6.1913;0.09426;6.4083;0.0853279
5;42;6.46596;0.110822;6.36908;0.1572
5;43;6.49797;0.0726911;6.46701;0.103862
5;44;6.5955;0.138636;6.66842;0.0828428
5;45;6.56504;0.0934271;6.58961;0.133166
5;46;6.80365;0.082138;6.74676;0.0761887
5;47;6.9074;0.0651121;6.85845;0.0751656
5;48;6.78712;0.104834;6.99358;0.12436
5;49;7.07611;0.0986553;6.90244;0.0973027
5;50;7.22034;0.0682464;6.88514;0.075071
5;51;7.02655;0.078723;7.16002;0.111623
5;52;7.18047;0.155499;7.18817;0.134351
5;53;7.48246;0.0960785;7.17837;0.0880404
5;54;7.25903;0.0249652;7.32905;0.163574
5;55;7.52497;0.127648;7.45799;0.129983
5;56;7.48632;0.151623;7.42334;0.149342
5;57;7.51522;0.0543395;7.30446;0.190104
5;58;7.62787;0.15204;7.35663;0.0849338
5;59;7.6866;0.0625941;7.61475;0.110178
5;60;7.57864;0.0534619;7.66281;0.101685
5;61;7.763;0.114771;7.66454;0.108688
5;62;7.83746;0.0785506;7.80474;0.136472
5;63;7.91744;0.110309;7.83464;0.129538
5;64;8.15885;0.191399;8.03849;0.209146
5;65;8.31377;0.179567;8.12122;0.168719
5;66;8.10372;0.133942;8.26028;0.131554
5;67;8.0683;0.105759;8.19534;0.152162
5;68;8.22708;0.197552;8.2096;0.147254
5;69;8.21257;0.106754;8.2516;0.0941083
5;70;8.02138;0.0974729;8.37975;0.144529
5;71;8.32803;0.121628;8.64916;0.199763
5;72;8.52624;0.18788;8.42521;0.0783975
5;73;8.55937;0.267286;8.35337;0.138433
5;74;8.5559;0.099925;8.91091;0.110706
5;75;8.65944;0.142005;8.74143;0.140579
5;76;8.73323;0.20689;8.6623;0.129158
5;77;8.62094;0.13863;8.93037;0.118234
5;78;8.9486;0.145524;8.60817;0.12332
5;79;8.72899;0.122301;8.93302;0.107598
